keyword	search_volume	topic	category	cluster_name	main_keyword	keyword_difficulty	cluster_avg_difficulty	position	avg_cluster_position	clicks	impressions	ctr	cover_url	cluster_total_search_volume	has_magicfuse_cover
salesforce help	2900	Support, success & admin operations	Salesforce Support Services	5 Ways to Get Help from Salesforce Customer Support	FALSE	41.0	66.3	0.0	-			0.0		11600	NO
salesforce support	2900	Support, success & admin operations	Salesforce Support Services	5 Ways to Get Help from Salesforce Customer Support	FALSE	70.0	66.3	0.0	-			0.0		11600	NO
support at salesforce	2900	Support, success & admin operations	Salesforce Support Services	5 Ways to Get Help from Salesforce Customer Support	FALSE	88.0	66.3	0.0	-			0.0		11600	NO
support salesforce	2900	Support, success & admin operations	Salesforce Support Services	5 Ways to Get Help from Salesforce Customer Support	TRUE	66.0	66.3	0.0	-			0.0		11600	NO
manage events in salesforce	480	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	24.0	19.4	0.0	-			0.0		2520	NO
salesforce event management	480	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	16.0	19.4	0.0	-			0.0		2520	NO
salesforce event planning	480	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	17.0	19.4	0.0	-			0.0		2520	NO
salesforce for event management	480	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	TRUE	19.0	19.4	0.0	-			0.0		2520	NO
salesforce event app	170	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	45.0	19.4	0.0	-			0.0		2520	NO
salesforce events app	140	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	30.0	19.4	0.0	-			0.0		2520	NO
event management software salesforce integration	90	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	6.0	19.4	0.0	-			0.0		2520	NO
salesforce event management app	90	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	5.0	19.4	0.0	-			0.0		2520	NO
salesforce event management tool	50	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	11.0	19.4	0.0	-			0.0		2520	NO
event management software salesforce	40	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	10.0	19.4	0.0	-			0.0		2520	NO
salesforce event manager	20	Support, success & admin operations	Salesforce Support Services	Salesforce Event Management: A Guide for Associations	FALSE	30.0	19.4	0.0	-			0.0		2520	NO
louisiana staffing	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	FALSE	8.0	22.4	0.0	-			0.0		1820	NO
staffing agencies in louisiana	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	FALSE	26.0	22.4	0.0	-			0.0		1820	NO
staffing agency louisiana	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	FALSE	24.0	22.4	0.0	-			0.0		1820	NO
staffing companies in louisiana	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	FALSE	22.0	22.4	0.0	-			0.0		1820	NO
temp agencies in louisiana	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	FALSE	30.0	22.4	0.0	-			0.0		1820	NO
temp agency louisiana	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	FALSE	20.0	22.4	0.0	-			0.0		1820	NO
temp services in louisiana	260	Support, success & admin operations	Salesforce Support Services	Adecco Staffing and Temp Agencies in Shreveport, Louisiana	TRUE	27.0	22.4	0.0	-			0.0		1820	NO
psa for salesforce	260	Support, success & admin operations	Salesforce Support Services	7 Advantages of Using a Salesforce Native PSA System	FALSE	8.0	11.0	0.0	47.8			0.0		830	NO
psa salesforce	260	Support, success & admin operations	Salesforce Support Services	7 Advantages of Using a Salesforce Native PSA System	TRUE	7.0	11.0	0.0	47.8			0.0		830	NO
financialforce professional services automation	110	Financial Services Cloud	Salesforce Support Services	7 Advantages of Using a Salesforce Native PSA System	FALSE	9.0	11.0	0.0	47.8			0.0		830	NO
financialforce psa	110	Financial Services Cloud	Salesforce Support Services	7 Advantages of Using a Salesforce Native PSA System	FALSE	17.0	11.0	47.8	47.8	0	4	0.0	https://magicfuse.co/blog/financialforce-salesforce-vs-financial-service-cloud	830	YES
salesforce professional services automation	90	Support, success & admin operations	Salesforce Support Services	7 Advantages of Using a Salesforce Native PSA System	FALSE	14.0	11.0	0.0	47.8			0.0		830	NO
adp contact details	50	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	FALSE	65.0	69.1	0.0	-			0.0		250	NO
adp vantage customer service	50	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	TRUE	65.0	69.1	0.0	-			0.0		250	NO
adp check verification contact number	30	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	FALSE	75.0	69.1	0.0	-			0.0		250	NO
adp human resources contact	30	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	FALSE	80.0	69.1	0.0	-			0.0		250	NO
adp mobile solutions customer service	30	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	FALSE	80.0	69.1	0.0	-			0.0		250	NO
adp pay card customer service	30	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	FALSE	35.0	69.1	0.0	-			0.0		250	NO
adp workforce help number	30	Support, success & admin operations	Salesforce Support Services	Adp vantage customer service	FALSE	84.0	69.1	0.0	-			0.0		250	NO
create jira ticket from salesforce	20	Support, success & admin operations	Salesforce Support Services	Joint Work And Link Data By Jira Salesforce Integration	FALSE	3.0	8.6	0.0	-			0.0		80	NO
jira service desk salesforce integration	20	Support, success & admin operations	Salesforce Support Services	Joint Work And Link Data By Jira Salesforce Integration	FALSE	7.0	8.6	0.0	-			0.0		80	NO
servicerocket jira salesforce	20	Support, success & admin operations	Salesforce Support Services	Joint Work And Link Data By Jira Salesforce Integration	TRUE	5.0	8.6	0.0	-			0.0		80	NO
jira cloud salesforce integration	10	Support, success & admin operations	Salesforce Support Services	Joint Work And Link Data By Jira Salesforce Integration	FALSE	17.0	8.6	0.0	-			0.0		80	NO
salesforce and jira cloud connector	10	Support, success & admin operations	Salesforce Support Services	Joint Work And Link Data By Jira Salesforce Integration	FALSE	11.0	8.6	0.0	-			0.0		80	NO
headless commerce salesforce	20	Commerce Cloud	Salesforce Support Services	Build headless commerce that lets your customers lead the way.	FALSE	34.0	38.0	0.0	-			0.0		60	NO
salesforce commerce cloud headless	20	Commerce Cloud	Salesforce Support Services	Build headless commerce that lets your customers lead the way.	FALSE	35.0	38.0	0.0	-			0.0		60	NO
salesforce headless	20	Commerce Cloud	Salesforce Support Services	Build headless commerce that lets your customers lead the way.	TRUE	45.0	38.0	0.0	-			0.0		60	NO
salesforce donation processing	20	Support, success & admin operations	Salesforce Support Services	How to simplify nonprofit fundraising with Salesforce Elevate	FALSE	1.0	1.3	0.0	-			0.0		60	NO
salesforce elevate pricing	20	Support, success & admin operations	Salesforce Support Services	How to simplify nonprofit fundraising with Salesforce Elevate	FALSE	2.0	1.3	0.0	-			0.0		60	NO
salesforce.org elevate	20	Support, success & admin operations	Salesforce Support Services	How to simplify nonprofit fundraising with Salesforce Elevate	TRUE	1.0	1.3	0.0	-			0.0		60	NO
salesforce enhancement	20	Support, success & admin operations	Salesforce Support Services	Download: Enhancement Manager for Salesforce app	TRUE	0.0	0.0	0.0	-			0.0		20	NO
salesforce crm	40500	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	71.0	61.5	0.0	-			0.0		359880	NO
salesforce is a crm	40500	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	TRUE	78.0	61.5	0.0	-			0.0		359880	NO
crm and salesforce	33100	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	48.0	61.5	0.0	-			0.0		359880	NO
salesforce in crm	33100	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	66.0	61.5	0.0	-			0.0		359880	NO
sfdc crm	33100	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	75.0	61.5	0.0	-			0.0		359880	NO
