target_url,intent,priority,anchor_type,anchor_text,suggested_share_pct,notes
https://magicfuse.co/,brand,high,branded,MagicFuse,30,homepage default
https://magicfuse.co/,brand,high,branded,MagicFuse team,5,
https://magicfuse.co/,brand,high,branded_keyword,"MagicFuse, a Salesforce development company",10,editorial mentions
https://magicfuse.co/,brand,high,branded_keyword,MagicFuse Salesforce consultants,5,
https://magicfuse.co/,brand,high,naked_url,magicfuse.co,10,citations / resource pages
https://magicfuse.co/,brand,high,generic,learn more,5,
https://magicfuse.co/,brand,high,generic,read the full guide,5,
https://magicfuse.co/,brand,high,partial_match,Salesforce development partner,10,
https://magicfuse.co/,brand,high,partial_match,certified Salesforce consulting team,8,
https://magicfuse.co/,brand,high,partial_match,nearshore + offshore Salesforce delivery,5,
https://magicfuse.co/,brand,high,exact_match,Salesforce development company,5,DR50+ contexts only
https://magicfuse.co/,brand,high,exact_match,Salesforce consulting company,2,DR50+ contexts only
https://magicfuse.co/hire-salesforce-developers,commercial,critical,branded,MagicFuse,30,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,branded_keyword,MagicFuse Salesforce developers,15,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,partial_match,vetted Salesforce developers,10,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,partial_match,dedicated Salesforce engineering team,10,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,partial_match,certified Salesforce engineers in EU & LATAM,8,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,partial_match,Salesforce dev team augmentation,7,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,generic,their hiring page,5,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,generic,see how they staff,5,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,naked_url,magicfuse.co/hire-salesforce-developers,5,
https://magicfuse.co/hire-salesforce-developers,commercial,critical,exact_match,hire Salesforce developers,3,strict cap
https://magicfuse.co/hire-salesforce-developers,commercial,critical,exact_match,hire a Salesforce developer,2,strict cap
https://magicfuse.co/hire-salesforce-expert,commercial,high,branded,MagicFuse experts,25,
https://magicfuse.co/hire-salesforce-expert,commercial,high,partial_match,Salesforce expert on demand,15,
https://magicfuse.co/hire-salesforce-expert,commercial,high,partial_match,senior Salesforce experts,15,
https://magicfuse.co/hire-salesforce-expert,commercial,high,partial_match,bring in a Salesforce expert,10,
https://magicfuse.co/hire-salesforce-expert,commercial,high,generic,reach out to their team,10,
https://magicfuse.co/hire-salesforce-expert,commercial,high,naked_url,magicfuse.co/hire-salesforce-expert,10,
https://magicfuse.co/hire-salesforce-expert,commercial,high,branded_keyword,MagicFuse Salesforce experts,10,
https://magicfuse.co/hire-salesforce-expert,commercial,high,exact_match,hire Salesforce expert,5,strict cap
https://magicfuse.co/hire-salesforce-consultants,commercial,high,branded,MagicFuse consultants,25,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,partial_match,Salesforce consulting partner,15,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,partial_match,senior Salesforce consultants,15,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,partial_match,Salesforce consulting team you can hire,10,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,branded_keyword,MagicFuse Salesforce consulting team,10,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,generic,read more,10,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,naked_url,magicfuse.co/hire-salesforce-consultants,10,
https://magicfuse.co/hire-salesforce-consultants,commercial,high,exact_match,hire Salesforce consultant,3,strict cap
https://magicfuse.co/hire-salesforce-consultants,commercial,high,exact_match,hire Salesforce consultants,2,strict cap
https://magicfuse.co/hire-salesforce-admin,commercial,medium,branded,MagicFuse admin team,25,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,partial_match,Salesforce admin on demand,15,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,partial_match,fractional Salesforce administrator,15,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,partial_match,certified Salesforce admin,10,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,branded_keyword,MagicFuse Salesforce admin,10,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,generic,more here,10,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,naked_url,magicfuse.co/hire-salesforce-admin,10,
https://magicfuse.co/hire-salesforce-admin,commercial,medium,exact_match,hire Salesforce admin,5,strict cap
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,branded,MagicFuse managed support,25,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,partial_match,Salesforce post-launch support,15,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,partial_match,ongoing Salesforce support partner,15,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,partial_match,managed Salesforce support,10,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,branded_keyword,MagicFuse Salesforce managed services,10,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,generic,see their support model,10,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,naked_url,magicfuse.co/services/salesforce-managed-service,10,
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,exact_match,Salesforce managed services,3,strict cap
https://magicfuse.co/services/salesforce-managed-service,commercial,critical,exact_match,managed services for Salesforce,2,strict cap
https://magicfuse.co/services/salesforce-app-development,commercial,high,branded,MagicFuse for AppExchange,25,
https://magicfuse.co/services/salesforce-app-development,commercial,high,partial_match,AppExchange product development,15,
https://magicfuse.co/services/salesforce-app-development,commercial,high,partial_match,Salesforce ISV partner,15,
https://magicfuse.co/services/salesforce-app-development,commercial,high,partial_match,build a Salesforce app,10,
https://magicfuse.co/services/salesforce-app-development,commercial,high,branded_keyword,MagicFuse AppExchange development,10,
https://magicfuse.co/services/salesforce-app-development,commercial,high,generic,full case study,10,
https://magicfuse.co/services/salesforce-app-development,commercial,high,naked_url,magicfuse.co/services/salesforce-app-development,10,
https://magicfuse.co/services/salesforce-app-development,commercial,high,exact_match,Salesforce app development company,3,strict cap
https://magicfuse.co/services/salesforce-app-development,commercial,high,exact_match,Salesforce application development services,2,strict cap
https://magicfuse.co/services/salesforce-integration,commercial,high,branded,MagicFuse integration team,25,
https://magicfuse.co/services/salesforce-integration,commercial,high,partial_match,connect Salesforce with your stack,15,
https://magicfuse.co/services/salesforce-integration,commercial,high,partial_match,Salesforce systems integration,15,
https://magicfuse.co/services/salesforce-integration,commercial,high,partial_match,mid-tier Salesforce integration shop,10,
https://magicfuse.co/services/salesforce-integration,commercial,high,branded_keyword,MagicFuse Salesforce integration,10,
https://magicfuse.co/services/salesforce-integration,commercial,high,generic,read the full breakdown,10,
https://magicfuse.co/services/salesforce-integration,commercial,high,naked_url,magicfuse.co/services/salesforce-integration,10,
https://magicfuse.co/services/salesforce-integration,commercial,high,exact_match,Salesforce integration partners,3,strict cap
https://magicfuse.co/services/salesforce-integration,commercial,high,exact_match,Salesforce API integration services,2,strict cap
https://magicfuse.co/services/salesforce-custom-development,commercial,high,branded,MagicFuse custom dev,25,
https://magicfuse.co/services/salesforce-custom-development,commercial,high,partial_match,custom Apex & LWC engineering,15,
https://magicfuse.co/services/salesforce-custom-development,commercial,high,partial_match,Salesforce platform engineering,15,
